formula,nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill
DyHoC4,3,1.4366666666666665,1.1033333333333333,0.4714045207910317,0.4714045207910317,1.0,0.21833333333333332,1.0386602413476709,1.061386796893207,113.14699999999999,62.579,71.52083191630254,71.51739175193681,152.919,19.481,0.8215819338583943,0.9869129245697719,9.666666666666666,6.833333333333332,4.027681991198191,4.017323597731316,9,0.6666666666666665,0.9980406958852484,1.091019847184979,1.6666666666666665,2.1083333333333334,0.6246243315430127,0.6246176608311856,1.3299999999999998,1.4966666666666664,1.032585204054865,0.6257536402350217,7.740233333333333,9.500266666666667,2.4892914243928046,2.489177219930759,5.321400000000001,6.51705,1.0497030452865417,0.6591607110888491,4,0,0.0,0
LuCoC,3,1.25,1.25,0.39191835884530846,0.39191835884530846,0.96,0.32,1.0481748779873785,1.0481748779873785,81.97033333333333,81.97033333333333,68.49186583983695,68.49186583983695,162.95600000000002,54.318666666666665,0.7319994541679364,0.7319994541679364,10.000000000000002,10.000000000000002,5.354126134736337,5.354126134736337,13,4.333333333333333,0.951703198680115,0.951703198680115,1.9,1.9,0.522749143152494,0.5227491431524939,1.2799999999999998,0.4266666666666665,1.0602239871309287,1.0602239871309287,8.189066666666667,8.189066666666667,2.3918242192008083,2.3918242192008083,5.8344000000000005,1.9448000000000003,1.0558466560143267,1.0558466560143267,4,2.666666666666667,0.2666666666666667,5.0
ErCoC,3,1.26,1.26,0.40422765862815474,0.40422765862815474,0.99,0.33,1.0459592279681698,1.0459592279681695,79.40099999999998,79.40099999999998,65.01122797384053,65.01122797384053,155.248,51.749333333333325,0.744461148565303,0.744461148565303,9.0,9.0,4.08248290463863,4.0824829046386295,10,3.333333333333333,0.9896516343332492,0.9896516343332492,1.8900000000000001,1.8900000000000001,0.534852004452322,0.534852004452322,1.3099999999999998,0.43666666666666654,1.057840419843354,1.057840419843354,8.416333333333334,8.416333333333334,2.1373282423520155,2.1373282423520155,5.1526000000000005,1.7175333333333338,1.066857983030016,1.0668579830300158,4,2.3333333333333335,0.2592592592592593,2.0
YHoC4,3,1.45,1.1099999999999999,0.48110982807116576,0.4809712396114068,1.04,0.21833333333333332,1.0372322775084177,1.0628854686176519,88.61566666666666,50.31333333333333,62.42925788620447,58.44463071051856,152.919,19.481,0.8024134626079205,0.9827924132583441,6.666666666666666,5.333333333333333,4.4969125210773475,3.4480268109295333,10,2.1666666666666665,0.8864644756797975,0.9344359631484513,1.6666666666666665,2.1083333333333334,0.6246243315430127,0.6246176608311856,1.3299999999999998,1.4966666666666664,1.032585204054865,0.6257536402350217,7.833033333333333,9.546666666666667,2.42476143339688,2.4241025567321937,5.238800000000001,6.503283333333334,1.0532182132492363,0.6668485559076865,4,0.16666666666666666,0.03125,4.5
HfMoC2,3,1.23,1.115,0.3353605025441527,0.3521718330588067,0.79,0.04999999999999999,1.0588410367945529,1.0967554938076656,95.487,74.618,67.96559010263944,69.07269041741462,166.479,38.617000000000004,0.794115576464907,0.875083629329604,4.666666666666666,4.5,0.9428090415820634,0.8660254037844386,2,1.0,1.0789922078775833,1.0608569471580214,2.0033333333333334,2.1399999999999997,0.522196216846588,0.5104409858152066,1.2499999999999998,0.95,1.0627183644280462,0.9422363986471454,8.3926,9.109525000000001,2.030704276845844,2.152850264620139,4.435200000000001,3.9238750000000007,1.0706158381859232,0.9296867563592133,4,1.75,0.21875,4.5
HfZrC2,3,1.3099999999999998,1.175,0.3821866908549625,0.4052468383590426,0.8300000000000001,0.015000000000000013,1.0519817109759437,1.0984857833423192,93.90833333333333,73.434,67.99126705851438,68.7364842969147,166.479,38.617000000000004,0.7887977356610391,0.8706210444465079,4.0,4.0,0.0,0.0,0,1.0,1.0986122886681096,1.0397207708399179,1.7266666666666666,1.9324999999999999,0.5823133940490196,0.617591086399407,1.2499999999999998,0.95,1.0449209630546228,0.8769991226765703,8.239766666666668,8.994900000000001,2.1372654761530114,2.266408356850107,4.626400000000001,3.9716750000000003,1.0665314131382058,0.920337870183126,4,1.0,0.13333333333333333,6.0
La3DyC8,3,1.4233333333333331,1.0933333333333333,0.46226495528959244,0.45737171850573455,1.0,0.36583333333333334,1.0399901818552824,0.9920848387377903,104.472,56.27525,66.08559296851318,62.87640978687874,150.489,26.71891666666667,0.8262110652932769,0.9181258861862724,6.333333333333333,4.416666666666666,4.0276819911981905,2.32588095615881,9,1.9166666666666665,0.9097077103274986,0.9420381421733817,1.6233333333333335,2.0766666666666667,0.6570810875040883,0.670066331708204,1.4499999999999997,1.5983333333333332,1.0215996226513337,0.5792560000600382,7.592033333333333,9.396,2.5980629006156795,2.6380711192081234,5.683400000000001,7.011958333333334,1.0432958232046947,0.6174953170083303,4,0.25,0.05660377358490567,6.75
Ta2CN,3,0.9666666666666666,1.0825,0.328870119584549,0.34838018026288464,0.73,0.54,1.0438310383137765,0.8756307018577633,68.98866666666666,96.97850000000001,79.17139737865493,83.97246532197326,168.937,87.47125,0.4649185648812201,0.2922901716523202,4.666666666666667,4.75,0.4714045207910317,0.4330127018922193,1,1.5,1.0933747175566468,1.017164350924834,2.3633333333333333,2.1475,0.6424086619036895,0.6702751300771944,1.54,0.12250000000000005,1.059491747466784,1.095543814138213,11.114666666666668,10.2234,2.853269103249036,2.9135763667698846,6.984500000000001,0.9597249999999997,1.0648692269479165,1.0906667558275889,4,1.5,0.1276595744680851,10.5
Sc4BC4,3,1.07,1.15,0.38262252939417984,0.41182520563948005,0.8400000000000001,0.6233333333333334,1.038285700412415,0.8582605866519503,22.59266666666667,26.519888888888886,15.82085139582851,16.493639814212862,34.145,18.779222222222224,0.8717624884738189,0.6761609549369599,3.333333333333333,3.444444444444444,0.4714045207910317,0.49690399499995325,1,1.4444444444444444,1.0888999753452238,0.9347570038626678,1.9833333333333334,1.9644444444444444,0.4874650984657487,0.5616070415653656,1.1899999999999997,0.9066666666666664,1.0674862001343324,0.9291687604839372,8.7066,8.8428,1.9399133709180596,2.22339457187028,4.698800000000001,4.082577777777778,1.074059566433938,0.9237273715900618,2,0.4444444444444444,0.12903225806451613,12.0
YCoC,3,1.2766666666666666,1.2766666666666666,0.4249967320135794,0.4249967320135794,1.04,0.3466666666666666,1.0421859100562707,1.0421859100562707,53.28333333333334,53.28333333333334,31.64542416983677,31.645424169836765,76.89500000000001,25.631666666666668,0.8886586106040782,0.8886586106040781,5.333333333333333,5.333333333333333,2.6246692913372702,2.6246692913372702,6,2.0,0.9840865030829147,0.9840865030829147,1.8833333333333333,1.8833333333333333,0.542975342186201,0.542975342186201,1.3299999999999998,0.44333333333333325,1.0561817302882348,1.0561817302882348,8.452866666666667,8.452866666666667,2.0981318457671394,2.0981318457671394,5.043000000000001,1.6810000000000005,1.0683517823629858,1.0683517823629858,3,2.666666666666667,0.5,5.0
