formula,pressure,nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill,Tc
Er1Ba2Cu3O6.85,0,4,1.4675,1.12536965,0.562644426,0.567641684,1.51,0.214863813,1.306847655,1.333157625,96.03275,57.75440856,59.66402567,53.4407921,151.26,12.84520233,1.159782243,1.33527408,8.25,7.167315175,4.60298816,3.456120409,12,2.887159533,1.209825689,1.150403028,1.8675,2.512373541,0.977634262,1.040147124,2.55,1.737276265,1.256869931,0.820953486,8.165975,10.34974981,3.274260602,3.579149137,8.4064,6.784146693,1.31211949,0.894294598,4,2.33463035,0.325732899,0,93
Hg0.8V0.2Ba2Cu1O4.3,0,5,1.406,1.205060241,0.490126514,0.627938631,1.51,0.491084337,1.546007707,1.341851635,93.6808,69.59712048,66.48870741,65.27150077,184.591,31.8633253,1.350532057,1.27674899,7.2,6.192771084,3.762977544,3.213142557,10,2.987951807,1.461858701,1.2646457,1.972,2.457590361,0.830503462,1.079944879,2.55,1.742891566,1.522917311,0.932711701,8.74798,10.41046627,2.970810386,3.61034054,8.4064,6.892601205,1.55323088,1.025462803,4,2.240963855,0.297124601,0.7,93
Bi1.2Pb0.8Sr2Ca1Cu2O8,0,6,1.56,1.158,0.490034012,0.583440371,1.49,0.258666667,1.73624813,1.67886361,103.9038333,59.1292,76.81798131,63.97573145,192.981,14.04653333,1.511454163,1.68871391,5,5.68,3.055050463,2.5931191,9,3.066666667,1.618118697,1.214664653,1.94,2.5672,0.843978673,1.002518908,2.49,1.768,1.697407438,1.032554304,7.975816667,10.43844533,2.625468278,3.449980467,7.9232,6.867429333,1.743753053,1.08331126,4,2.666666667,0.3003003,0,93
Nd1Ba2Cu3O6.84,0,4,1.4825,1.130404984,0.570980516,0.573136551,1.51,0.209844237,1.305693506,1.336367283,90.2785,55.9943271,53.286235,50.02350348,128.243,12.86766667,1.178057411,1.328389313,6.25,6.54517134,3.191786334,2.83480538,9,2.884735202,1.248305585,1.050456359,1.8425,2.503862928,0.994494218,1.050049413,2.55,1.743738318,1.249086449,0.813789135,8.0203,10.30182274,3.374036829,3.636087879,8.4064,6.824205919,1.30476475,0.885015167,4,2.336448598,0.35697287,0,93
Y1Ba2Cu3.85O6.85,0,4,1.48,1.138613139,0.56951734,0.555291312,1.51,0.227591241,1.305900596,1.328826783,76.4445,52.3945438,43.82350272,42.98416891,121.328,13.55824818,1.199538473,1.280086714,5.5,6.602189781,3.5,3.107348652,9,2.872262774,1.190608997,0.964601405,1.8625,2.472919708,0.980876521,1.019918889,2.55,1.630948905,1.255405013,0.85799028,8.193375,10.19498723,3.257336534,3.514476363,8.4064,6.355232482,1.313314552,0.931172439,4,2.883211679,0.436705362,1.855670103,93
Tl1Sr2Ca0.2Y0.8Cu2O6.97,0,6,1.595,1.156684657,0.496546406,0.588516256,1.49,0.324302236,1.736249479,1.590364305,83.422,53.76780493,59.85939027,52.78367255,188.384,15.14012336,1.551991412,1.594318873,4.5,5.67617579,3.201562119,2.777261154,9,3.193523516,1.573923263,1.110811775,1.688333333,2.503685428,0.852064486,1.047029644,2.49,1.833215112,1.679277821,0.927348203,7.579683333,10.33657957,2.775137677,3.586075491,7.9232,7.224018273,1.733831384,1.008758413,4,2.374710871,0.315509117,1.894736842,93
Gd1Ba2Cu3O6.89,0,4,1.4775,1.127028704,0.568083401,0.570919746,1.51,0.213141971,1.306101896,1.334950375,93.5305,56.84834057,56.76379089,51.85902088,141.251,12.75569356,1.168101153,1.333326431,7.25,6.853374709,3.561951712,2.968843621,9,2.89681924,1.245242378,1.109942689,1.8575,2.512148953,0.984184307,1.043666534,2.55,1.745663305,1.253895305,0.815762708,8.176575,10.36318146,3.267641984,3.574318966,8.4064,6.802064313,1.312588505,0.892784752,4,2.404965089,0.350916912,2.25,92.9
Ho1Ba2Cu3O6.71,0,4,1.47,1.131282455,0.563959218,0.569519384,1.51,0.209173879,1.306670289,1.334738738,95.4505,58.03110071,58.97346892,53.18260961,148.931,13.16291975,1.161760998,1.332997555,8,7.101494886,4.301162634,3.325734381,11,2.852871755,1.220172127,1.145178345,1.865,2.501369001,0.97924716,1.042225429,2.55,1.719307632,1.256143004,0.82781424,8.144425,10.30696703,3.287991385,3.590270803,8.4064,6.715653108,1.311139497,0.900669631,4,2.360346184,0.332373144,0,92.9
Y1Ba1.7K0.3Cu3O6.54,0,5,1.638,1.143253589,0.599446411,0.57879758,1.61,0.289904306,1.53420566,1.469562638,68.9752,50.18841786,41.94712484,42.4754955,121.328,17.68153907,1.417048967,1.378630429,4.6,6.295055821,3.611094017,3.062458455,10,3.105263158,1.317688301,0.992970728,1.654,2.486172249,0.97138252,1.047059994,2.62,1.774449761,1.454146307,0.857955695,7.42284,10.25685598,3.295920172,3.607405227,9.2774,6.998418182,1.52052983,0.940539227,4,2.472089314,0.392703319,2.25,92.85
Y1Ba1.9La0.1Cu3O6.73,0,5,1.53,1.130227808,0.519114631,0.568040992,1.51,0.335333857,1.545153976,1.387480035,88.9366,52.00542577,46.48235968,44.38027438,122.906,19.40540456,1.445823056,1.371546383,5,6.322073841,3.286335345,2.992258895,9,3.148468185,1.414660908,0.999202167,1.71,2.503707777,0.928827218,1.040644665,2.55,1.809992145,1.477712757,0.840298522,7.67008,10.33041893,3.095729908,3.567837289,8.4064,7.15570487,1.537013823,0.919785121,4,2.443047918,0.386431412,2.414634146,92.85
Y2Ba4Cu7O15.1,0,4,1.48,1.111245552,0.56951734,0.557523962,1.51,0.225836299,1.305900596,1.328410981,76.4445,50.3034484,43.82350272,43.12931459,121.328,13.22049822,1.199538473,1.293856325,5.5,6.462633452,3.5,2.988624728,9,3.010676157,1.190608997,0.960926189,1.8625,2.535373665,0.980876521,1.024128804,2.55,1.761708185,1.255405013,0.808956061,8.193375,10.42702883,3.257336534,3.524486521,8.4064,6.875398932,1.313314552,0.88252528,4,2.56227758,0.396475771,2,92.8
Yb1Ba2Cu3O6.9,0,4,1.5125,1.13751938,0.59073577,0.584706951,1.51,0.202635659,1.302783342,1.341747494,97.4815,58.0417907,61.42044162,54.33701909,157.055,12.7334031,1.154759499,1.336991177,8.75,7.317829457,5.261891295,3.782834539,14,2.899224806,1.187487526,1.16369388,1.8325,2.505116279,1.001682959,1.053628,2.55,1.754728682,1.245635769,0.807422432,8.2026,10.37377442,3.251774595,3.564659289,8.4064,6.799278295,1.313704321,0.893930094,4,2.325581395,0.31779661,0,92.8
Y0.8Cd0.2Ba2Cu3O7,0,5,1.482,1.118923077,0.509407499,0.566449463,1.51,0.332461538,1.545206058,1.386042819,83.6378,51.60707692,41.75372764,44.59334308,121.328,19.39783077,1.459163313,1.373707172,6.8,6.446153846,4.06939799,3.023145429,10,3.046153846,1.419642412,1.061913904,1.828,2.528769231,0.880031818,1.033313576,2.55,1.826307692,1.502023798,0.841214135,8.35346,10.43860769,2.930989912,3.531687152,8.4064,7.194456923,1.551451934,0.925553143,4,2.523076923,0.391408115,1.8,92.8
Y0.7Cd0.3Ba2Cu3O7,0,5,1.482,1.116461538,0.509407499,0.564131547,1.51,0.321,1.545206058,1.397207739,83.6378,51.78788462,41.75372764,44.79141999,121.328,18.53313077,1.459163313,1.391507222,6.8,6.515384615,4.06939799,3.046396649,10,3.069230769,1.419642412,1.085142978,1.828,2.532384615,0.880031818,1.029543442,2.55,1.813307692,1.502023798,0.849126098,8.35346,10.45996538,2.930989912,3.514447729,8.4064,7.125273846,1.551451934,0.935413712,4,2.592307692,0.397874852,1.575,92.8
Y1Ba2Cu3H0.06O6.91,0,5,1.29,1.124317656,0.635515539,0.571806118,1.64,0.349175019,1.48263288,1.347938803,61.3572,51.2576384,49.46621066,44.27789324,136.319,21.17143562,1.217665555,1.291630534,4.6,6.285273709,3.611094017,2.996328868,10,3.191981496,1.317688301,0.984702315,1.93,2.513677718,0.887648579,1.039365857,2.55,1.822544333,1.506021813,0.839260217,9.27438,10.38834811,3.628013269,3.566197933,8.4064,7.192379877,1.533222641,0.924336827,5,2.390131072,0.380274779,2.25,92.8
Y1Ba1.9K0.1Cu3O6.61,0,5,1.638,1.138984933,0.599446411,0.575334334,1.61,0.327961935,1.53420566,1.399472986,68.9752,51.55658128,41.94712484,43.78640215,121.328,20.38156225,1.417048967,1.324378856,4.6,6.309278351,3.611094017,3.028987818,10,3.137192704,1.317688301,0.989310094,1.654,2.49257732,0.97138252,1.044813907,2.62,1.796701031,1.454146307,0.842689531,7.42284,10.28932918,3.295920172,3.584880911,9.2774,7.104010389,1.52052983,0.922356938,4,2.458366376,0.389643037,2.25,92.7
Dy1Ba2Cu3O6.82,0,4,1.47,1.12723869,0.563959218,0.568734277,1.51,0.213042122,1.306670289,1.333921299,94.843,57.48090328,58.26284933,52.71539915,146.501,12.91270047,1.163798953,1.333829671,7.75,7.014040562,4.023369235,3.182164031,10,2.879875195,1.229710463,1.133392652,1.8625,2.508642746,0.980876521,1.042310615,2.55,1.734851794,1.255405013,0.821056296,8.123775,10.32893463,3.30149109,3.595662323,8.4064,6.781321529,1.310166517,0.893157242,4,2.340093604,0.333629893,0,92.7
Y0.6Eu0.4Ba2Cu3O7,0,5,1.592,1.130923077,0.556467429,0.580826263,1.51,0.292615385,1.540353892,1.427523586,91.5484,53.18570769,49.4864698,47.09230192,135.965,17.02387692,1.436884604,1.428230425,6.2,6.492307692,3.42928564,2.946304475,9,3.092307692,1.447388584,1.075597866,1.73,2.520923077,0.916471494,1.04155021,2.55,1.815384615,1.483893071,0.835661772,7.68878,10.37906462,3.0832868,3.586442787,8.4064,7.158349231,1.537947755,0.913769079,4,2.353846154,0.362559242,1.5,92.6
